SOURCE_SYSTEM|DATA_KEY|DATA_ACTION|ACTION_DATE|ASSET_ID|ELR_ID|TRACK_DESCRIPTION|MILEAGE_FROM|MILEAGE_TO|ACCESS_POINT_TYPE_CODE|ACCESS_POINT_TYPE_DESC|ACCESS_POINT_NAME|LATITUDE|LONGITUDE|EASTING|NORTHING|POSITION_DESCRIPTION|STATUS_DESC|POSTCODE|ZONE_CODE|DATE_OF_LAST_UPDATE
"NHD"|10299707|"I"|"29-Mar-2018"|10299707|"WCM2"|"Up Main/Fast"|89.0988|89.0988|"MAP"|"Authorised Access Point - Pedestrian"|"MUIR STREET <1>, MOTHERWELL"|||274951.0|657346.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10299730|"I"|"29-Mar-2018"|10299730|"WCM2"|"Up Main/Fast"|89.0451|89.0451|"MAP"|"Authorised Access Point - Pedestrian"|"BRANDON PARADE CAR PK, M WELL"|||275296.0|656987.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10299953|"I"|"29-Mar-2018"|10299953|"WCM2"|"Down Main/Fast"|88.0552|88.0552|"MAV"|"Authorised Access Point - Vehicle"|"OLD STN FLEMINGTON OFF W MILL ST"|||276537.0|656081.0|"Left Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10300071|"I"|"29-Mar-2018"|10300071|"WCM2"|"Up Main/Fast"|87.1485|87.1485|"MAV"|"Authorised Access Point - Vehicle"|"FLEMINGTON <VIA INDUST ESTATE?>"|||277129.0|655648.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10300112|"I"|"29-Mar-2018"|10300112|"WCM2"|"Down Main/Fast"|87.0828|87.0828|"MAV"|"Authorised Access Point - Vehicle"|"SHIELDMUIR JN <VIA RANGE AVE?>"|||277628.0|655282.0|"Left Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10300159|"I"|"29-Mar-2018"|10300159|"WCM2"|"Down Main/Fast"|86.1400|86.1400|"MAP"|"Authorised Access Point - Pedestrian"|"UB 9 NETHERTON ST, WISHAW"|||278494.0|654647.0|"Left Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10300242|"I"|"29-Mar-2018"|10300242|"WCM2"|"Up Main/Fast"|85.0937|85.0937|"MAV"|"Authorised Access Point - Vehicle"|"DIMSDALE ROAD, WISHAW, OFF A721"|||280130.0|653448.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10300310|"I"|"29-Mar-2018"|10300310|"WCM2"|"Down Main/Fast"|85.0464|85.0464|"MAP"|"Authorised Access Point - Pedestrian"|"OB 3 OVERTOWN ROAD ON A71"|||280486.0|653204.0|"Left Hand Side"|||"QL"|"08-Sep-2008"
"NHD"|10300449|"I"|"29-Mar-2018"|10300449|"WCM1"|"Down Loop"|84.0055|84.0109|"MAV"|"Authorised Access Point - Vehicle"|"LAW JUNCTION <OFF B7011> STATION PLACE"|||282302.0|653030.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10300520|"I"|"29-Mar-2018"|10300520|"WCM1"|"Up Loop"|83.1620|83.1650|"MAV"|"Authorised Access Point - Vehicle"|"LAW JN RELAY ROOM <AT OB 467>"|||282517.0|652894.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10300661|"I"|"20-Jul-2020"|10300661|"WCM1"|"Up Main/Fast"|82.1342|82.1345|"MAV"|"Authorised Access Point - Vehicle"|"GASWORKS ROAD, CARLUKE"|||283320.0|651274.0|"Right Hand Side"|"Not Applicable"|"ML8 5EH"|"QL"|"20-Mar-2020"
"NHD"|10300843|"I"|"29-Mar-2018"|10300843|"WCM1"|"Up Main/Fast"|81.0797|81.0797|"MAP"|"Authorised Access Point - Pedestrian"|"OB 451 MILTON RD, CARLUKE OFF A73"|||284416.0|649511.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10300889|"I"|"20-Jul-2020"|10300889|"WCM1"|"Down Main/Fast"|80.1537|80.1550|"MAV"|"Authorised Access Point - Vehicle"|"OLD STATION YARD, BRAIDWOOD"|55.7155756111|-3.8331699444|284800.0|648670.0|"Left Hand Side"|"Not Applicable"|"ML8 4PW"|"QL"|"20-Mar-2020"
"NHD"|10300917|"I"|"29-Mar-2018"|10300917|"WCM1"|"Up Main/Fast"|81.0223|81.0235|"MAP"|"Authorised Access Point - Pedestrian"|"OB 450 BUSHELHEAD ROAD"|||284604.0|649035.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10301164|"I"|"29-Mar-2018"|10301164|"WCM1"|"Down Main/Fast"|78.0796|78.0797|"MAV"|"Authorised Access Point - Vehicle"|"OLD CRAIGENHILL LC <SIGS M563/564>"|||287815.0|646805.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10301209|"I"|"29-Mar-2018"|10301209|"WCM1"|"Up Main/Fast"|77.1681|77.1681|"MAP"|"Authorised Access Point - Pedestrian"|"OB430 FULLWOOD"|||288605.0|646715.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10301241|"I"|"20-Jul-2020"|10301241|"WCM1"|"Up Main/Fast"|78.0280|78.0280|"MAP"|"Authorised Access Point - Pedestrian"|"OB 431 CRAIGENHILL <MOOR ROAD>"|55.7008257222|-3.7794938611|288261.9|646699.0|"Right Hand Side"|"Not Applicable"|"ML8 4QS"|"QL"|"20-Mar-2020"
"NHD"|10302004|"I"|"20-Jul-2020"|10302004|"WCM1"|"Down Main/Fast"|73.0310|73.0310|"MAP"|"Authorised Access Point - Pedestrian"|"CARSTAIRS STH JN <OFF LAMPITS RD>"|55.6875671667|-3.6608029722|295685.5|645038.8|"Left Hand Side"|"Not Applicable"|"ML11 8RQ"|"QL"|"19-Mar-2020"
"NHD"|10302199|"I"|"29-Mar-2018"|10302199|"WCM1"|"Down Main/Fast"|71.0656|71.0667|"MAP"|"Authorised Access Point - Pedestrian"|"GRANGE COTTAGES <NEAR UB 392>"|||297266.0|642605.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10302373|"I"|"29-Mar-2018"|10302373|"WCM1"|"Down Main/Fast"|70.0076|70.0078|"MAP"|"Authorised Access Point - Pedestrian"|"OB 386 LEGGATFOOT, COVINGTON ROAD"|||297208.0|640489.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10302553|"I"|"29-Mar-2018"|10302553|"WCM1"|"Up Main/Fast"|68.0899|68.0905|"MAV"|"Authorised Access Point - Vehicle"|"THANKERTON OLD STATION YARD"|||297264.0|638096.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10302642|"I"|"20-Jul-2020"|10302642|"WCM1"|"Down Main/Fast"|67.0720|67.0726|"MAP"|"Authorised Access Point - Pedestrian"|"OB 371 MORRIS, OFF A73, TINTO YARD"|55.6145864167|-3.6124935278|298533.2|636845.7|"Left Hand Side"|"Not Applicable"|"ML12 6NJ"|"QL"|"18-Mar-2020"
"NHD"|10302874|"I"|"29-Mar-2018"|10302874|"WCM1"|"Down Main/Fast"|65.1075|65.1082|"MAP"|"Authorised Access Point - Pedestrian"|"UB 358 BURNHEAD"|||298762.0|634181.0|"Left Hand Side"|"Temporarily out of service"||"QL"|"25-Aug-2016"
"NHD"|10303020|"I"|"20-Jul-2020"|10303020|"WCM1"|"Down Main/Fast"|63.1395|63.1404|"MAP"|"Authorised Access Point - Pedestrian"|"OB 341 HARDINGTON OFF B7055"|55.5674320556|-3.6283917500|297409.5|631621.8|"Left Hand Side"|"Not Applicable"|"ML12 6HR"|"QL"|"18-Mar-2020"
"NHD"|10303065|"I"|"20-Jul-2020"|10303065|"WCM1"|"Down Main/Fast"|63.0450|63.0450|"MAV"|"Authorised Access Point - Vehicle"|"LAMINGTON TSC <2> OFF B7055"|55.5601131944|-3.6327745833|297114.0|630814.0|"Left Hand Side"|"Not Applicable"|"ML12 6HR"|"QL"|"18-Mar-2020"
"NHD"|10303163|"I"|"29-Mar-2018"|10303163|"WCM1"|"Down Main/Fast"|63.0393|63.0393|"MAP"|"Authorised Access Point - Pedestrian"|"LAMINGTON TSC <1> OFF B7055"|||297102.0|630761.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10303336|"I"|"20-Jul-2020"|10303336|"WCM1"|"Up Main/Fast"|60.1176|60.1176|"MAR"|"Authorised Access Point - Road-Rail Machines"|"WANDEL COTTAGE ON A702"|55.5303305000|-3.6688391944|294758.9|627553.7|"Right Hand Side"|"Not Applicable"|"ML12 6RP"|"QL"|"17-Mar-2020"
"NHD"|10303404|"I"|"29-Mar-2018"|10303404|"WCM1"|"Up Main/Fast"|60.0698|60.0698|"MAV"|"Authorised Access Point - Vehicle"|"WANDEL MILL ON A702"|||294554.0|627162.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10303532|"I"|"20-Jul-2020"|10303532|"WCM1"|"Down Main/Fast"|59.1068|59.1068|"MAP"|"Authorised Access Point - Pedestrian"|"UB 319 LITTLEGILL OFF A702"|55.5170921111|-3.6818474444|293902.9|626100.4|"Right Hand Side"|"Not Applicable"|"ML12 6RG"|"QL"|"17-Mar-2020"
"NHD"|10303647|"I"|"29-Mar-2018"|10303647|"WCM1"|"Up Main/Fast"|58.1017|58.1017|"MAP"|"Authorised Access Point - Pedestrian"|"ABINGTON UP LOOP <SIGNAL  MC522>"|||293679.0|624469.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10303768|"I"|"29-Mar-2018"|10303768|"WCM1"|"Up Main/Fast"|57.0572|57.0576|"MAV"|"Authorised Access Point - Vehicle"|"SOUTHWOOD ROAD <SIGNAL MC528>"|||293347.0|622500.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10303968|"I"|"29-Mar-2018"|10303968|"WCM1"|"Down Main/Fast"|55.0419|55.0419|"MAP"|"Authorised Access Point - Pedestrian"|"FORMER CRAWFORD STATION"|||295597.0|620895.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10304069|"I"|"29-Mar-2018"|10304069|"WCM1"|"Down Main/Fast"|55.0249|55.0249|"MAV"|"Authorised Access Point - Vehicle"|"UB 294 HOPPER"|||295703.0|620791.0|"Left Hand Side"|"Operational"||"QL"|"01-Oct-2012"
"NHD"|10304275|"I"|"20-Jul-2020"|10304275|"WCM1"|"Down Main/Fast"|53.0392|53.0395|"MAP"|"Authorised Access Point - Pedestrian"|"OB 282 ELVANFOOT, A702 D FRIES RD"|||295236.0|618063.0|"Left Hand Side"|"Temporarily out of service"||"QL"|"17-Mar-2020"
"NHD"|10304322|"I"|"20-Jul-2020"|10304322|"WCM1"|"Down Main/Fast"|52.1275|52.1275|"MAV"|"Authorised Access Point - Vehicle"|"ELVANFOOT FEEDER STN OFF A702"|55.4376040556|-3.6549866111|295388.2|617214.3|"Left Hand Side"|"Not Applicable"|"ML12 6TG"|"QL"|"17-Mar-2020"
"NHD"|10304510|"I"|"20-Jul-2020"|10304510|"WCM1"|"Up Main/Fast"|50.1252|50.1252|"MAP"|"Authorised Access Point - Pedestrian"|"OB 263 PADDYSRICKLE"|55.4265202778|-3.6090611944|298265.2|615913.4|"Right Hand Side"|"Not Applicable"|"ML12 6GS"|"QL"|"16-Mar-2020"
"NHD"|10304695|"I"|"20-Jul-2020"|10304695|"WCM1"|"Down Loop"|49.1475|49.1475|"MAV"|"Authorised Access Point - Vehicle"|"BEATTOCK SUMMIT RELAY ROOM"|55.4212757222|-3.5894020833|299495.8|615300.9|"Left Hand Side"|"Not Applicable"|"ML12 6GS"|"QL"|"16-Mar-2020"
"NHD"|10304858|"I"|"20-Jul-2020"|10304858|"WCM1"|"Down Main/Fast"|49.0337|49.0337|"MAP"|"Authorised Access Point - Pedestrian"|"OB 258 TANK AQUEDUCT"|55.4133086944|-3.5810890556|300001.9|614402.2|"Left Hand Side"|"Not Applicable"|"ML12 6GS"|"QL"|"16-Mar-2020"
"NHD"|10304963|"I"|"29-Mar-2018"|10304963|"WCM1"|"Up Main/Fast"|48.0489|48.0489|"MAV"|"Authorised Access Point - Vehicle"|"DIXON S LOWER <forest track>"|||301179.0|613680.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10305064|"I"|"29-Mar-2018"|10305064|"WCM1"|"Down Main/Fast"|47.0292|47.0292|"MAV"|"Authorised Access Point - Vehicle"|"HARTHOPE VIADUCT, NORTH END <2>"|||302533.0|612585.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10305287|"I"|"29-Mar-2018"|10305287|"WCM1"|"Down Main/Fast"|45.0444|45.0444|"MAV"|"Authorised Access Point - Vehicle"|"OLD GRESKINE COTT <FOREST TRACK>"|||303917.0|610022.0|"Left Hand Side"|"Out of service due to condition "||"QL"|"27-Sep-2012"
"NHD"|10305297|"I"|"29-Mar-2018"|10305297|"WCM1"|"Down Main/Fast"|44.0645|44.0657|"MAP"|"Authorised Access Point - Pedestrian"|"UB 231 DAVY S BR VIA FOREST TRACK"|||303917.0|608628.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10305483|"I"|"29-Mar-2018"|10305483|"WCM1"|"Up Main/Fast"|42.1741|42.1753|"MAP"|"Authorised Access Point - Pedestrian"|"UB 219 MIDDLEGILL OFF B7076"|||304792.0|606635.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10305618|"I"|"29-Mar-2018"|10305618|"WCM1"|"Up Main/Fast"|41.0315|41.0326|"MAP"|"Authorised Access Point - Pedestrian"|"OB 204 EGYPT OFF A74"|||306627.0|604435.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10305665|"I"|"29-Mar-2018"|10305665|"WCM1"|"Down Main/Fast"|40.0985|40.0992|"MAV"|"Authorised Access Point - Vehicle"|"UB 198 GARPOL WATER <forest track>"|||307076.0|603561.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10305772|"I"|"29-Mar-2018"|10305772|"WCM1"|"Down Main/Fast"|40.0043|40.0051|"MAP"|"Authorised Access Point - Pedestrian"|"OB 193 CROOKED RD, BEATTOCK"|||307525.0|602809.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10305898|"I"|"29-Mar-2018"|10305898|"WCM1"|"Up Main/Fast"|39.1315|39.1321|"MAP"|"Authorised Access Point - Pedestrian"|"BEATTOCK UP SDGS & RELAY ROOM"|||307729.0|602402.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10306122|"I"|"20-Jul-2020"|10306122|"WCM1"|"Up Main/Fast"|38.0638|38.0642|"MAP"|"Authorised Access Point - Pedestrian"|"UB 181 HOPPER OFF B7076 & A701"|55.2904800000|-3.4360300000|308903.0|600536.0|"Right Hand Side"|"Not Applicable"|"DG10 9PN"|"QL"|"03-Jun-2020"
"NHD"|10306151|"I"|"29-Mar-2018"|10306151|"WCM1"|"Up Main/Fast"|37.1190|37.1202|"MAP"|"Authorised Access Point - Pedestrian"|"OB 176 POVERTY  OFF B7076 & A701"|||309635.0|599770.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10306217|"I"|"20-Jul-2020"|10306217|"WCM1"|"Down Main/Fast"|37.0606|37.0613|"MAP"|"Authorised Access Point - Pedestrian"|"OB 175 MID MURTHAT OFF B7076"|55.2789700000|-3.4216797222|309788.0|599236.0|"Left Hand Side"|"Not Applicable"|"DG10 9PW"|"QL"|"03-Jun-2020"
"NHD"|10306267|"I"|"20-Jul-2020"|10306267|"WCM1"|"Down Main/Fast"|36.1582|36.1582|"MAP"|"Authorised Access Point - Pedestrian"|"OB 171 MURTHAT <OHNS> OFF B7076"|55.2730430556|-3.4160505556|310132.2|598569.2|"Left Hand Side"|"Not Applicable"|"DG10 9PP"|"QL"|"10-Jun-2020"
"NHD"|10306366|"I"|"29-Mar-2018"|10306366|"WCM1"|"Down Main/Fast"|35.1544|35.1548|"MAP"|"Authorised Access Point - Pedestrian"|"UB 165 COGRIE <via Fisherman s Walk>"|||310911.0|597159.0|"Left Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10306430|"I"|"29-Mar-2018"|10306430|"WCM1"|"Up Main/Fast"|35.0921|35.0938|"MAP"|"Authorised Access Point - Pedestrian"|"BROOMHILLS FARM"|||311107.0|596618.0|"Right Hand Side"|"Not Applicable"||"QL"|"01-Oct-2012"
"NHD"|10306711|"I"|"29-Mar-2018"|10306711|"WCM1"|"Down Main/Fast"|33.0797|33.0800|"MAV"|"Authorised Access Point - Vehicle"|"OB 153 GIRTHHEAD"|||311414.0|593309.0|"Left Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10306932|"I"|"29-Mar-2018"|10306932|"WCM1"|"Down Main/Fast"|30.0630|30.0637|"MAP"|"Authorised Access Point - Pedestrian"|"OB 136 DINWOODIE GREEN OFF B7076"|||310870.0|588429.0|"Left Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10306984|"I"|"20-Jul-2020"|10306984|"WCM1"|"Down Main/Fast"|29.1382|29.1400|"MAR"|"Authorised Access Point - Road-Rail Machines"|"OB 129 PERCHALL OFF B7076, YARD"|55.1745130556|-3.3951658333|311239.6|587578.6|"Left Hand Side"|"Not Applicable"|"DG11 2SH"|"QL"|"10-Jun-2020"
"NHD"|10307226|"I"|"20-Jul-2020"|10307226|"WCM1"|"Down Main/Fast"|28.0266|28.0267|"MAP"|"Authorised Access Point - Pedestrian"|"OB 122 BRECOURSE"|55.1537300000|-3.3751000000|312472.0|585241.0|"Left Hand Side"|"Not Applicable"|"DG11 2SG"|"QL"|"03-Jun-2020"
"NHD"|10307274|"I"|"29-Mar-2018"|10307274|"WCM1"|"Up Main/Fast"|27.1177|27.1203|"MAP"|"Authorised Access Point - Pedestrian"|"OB 119 MILLBANK OFF B7076"|||312833.0|584572.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10307332|"I"|"20-Jul-2020"|10307332|"WCM1"|"Down Main/Fast"|27.0294|27.0302|"MAP"|"Authorised Access Point - Pedestrian"|"OB116 KIRKTON OFF M74<J17>&B7076"|55.1413729167|-3.3629232222|313220.8|583849.7|"Left Hand Side"|"Not Applicable"|"DG11 2SF"|"QL"|"28-May-2020"
"NHD"|10307374|"I"|"20-Jul-2020"|10307374|"WCM1"|"Down Main/Fast"|26.0876|26.0990|"MAP"|"Authorised Access Point - Pedestrian"|"OB 113 DOUGLAS BDGE OFF B723"|55.1331330000|-3.3580390000|313514.5|582927.4|"Left Hand Side"|"Not Applicable"|"DG11 2AD"|"QL"|"02-Jun-2020"
"NHD"|10307468|"I"|"29-Mar-2018"|10307468|"WCM1"|"Up Loop"|25.1348|25.1348|"MAP"|"Authorised Access Point - Pedestrian"|"LOCKERBIE STATION"|||313773.0|581674.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10307550|"I"|"20-Jul-2020"|10307550|"WCM1"|"Down Main/Fast"|25.1292|25.1312|"MAV"|"Authorised Access Point - Vehicle"|"LOCKERBIE RELAY ROOM/DN SIDINGS"|55.1214530556|-3.3534158333|313784.0|581622.0|"Left Hand Side"|"Not Applicable"|"DG11 2HA"|"QL"|"03-Jun-2020"
"NHD"|10307601|"I"|"20-Jul-2020"|10307601|"WCM1"|"Up Loop"|25.0942|25.0954|"MAV"|"Authorised Access Point - Vehicle"|"LOCKERBIE SOUTH GF/UP SIDINGS"|55.1189143611|-3.3523149444|313848.4|581337.6|"Right Hand Side"|"Not Applicable"|"DG11 2HN"|"QL"|"28-May-2020"
"NHD"|10307718|"I"|"20-Jul-2020"|10307718|"WCM1"|"Down Main/Fast"|24.1698|24.1698|"MAV"|"Authorised Access Point - Vehicle"|"BLACKFORD LC OFF B7076 ROAD"|55.1108044444|-3.3490583611|314039.0|580432.0|"Left Hand Side"|"Not Applicable"|"DG11 2QT"|"QL"|"28-May-2020"
"NHD"|10307902|"I"|"20-Jul-2020"|10307902|"WCM1"|"Down Main/Fast"|24.0086|24.0087|"MAP"|"Authorised Access Point - Pedestrian"|"OB 99 NORWOOD OFF B7076"|55.1018563333|-3.3327414444|315058.0|579419.0|"Left Hand Side"|"Not Applicable"|"DG11 2QU"|"QL"|"27-May-2020"
"NHD"|10307947|"I"|"20-Jul-2020"|10307947|"WCM1"|"Up Main/Fast"|23.0907|23.0918|"MAP"|"Authorised Access Point - Pedestrian"|"OB 94 GIBSON S FARM <1> OFF B7076"|55.0978890000|-3.3215337222|315761.0|578962.0|"Right Hand Side"|"Not Applicable"|"DG11 2PS"|"QL"|"27-May-2020"
"NHD"|10308007|"I"|"20-Jul-2020"|10308007|"WCM1"|"Down Main/Fast"|23.0061|23.0062|"MAP"|"Authorised Access Point - Pedestrian"|"OB 91 CLEUCHSIDE OFF B7076"|55.0913788889|-3.3175709167|316007.0|578231.2|"Left Hand Side"|"Not Applicable"|"DG11 1AB"|"QL"|"27-May-2020"
"NHD"|10308116|"I"|"29-Mar-2018"|10308116|"WCM1"|"Down Main/Fast"|22.0307|22.0311|"MAP"|"Authorised Access Point - Pedestrian"|"OB 86 BRECKONHILL OFF B7076"|||315922.0|576860.0|"Left Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10308220|"I"|"29-Mar-2018"|10308220|"WCM1"|"Up Main/Fast"|21.0253|21.0254|"MAP"|"Authorised Access Point - Pedestrian"|"UB 83 YESKET OFF B7076"|||316535.0|575452.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10308331|"I"|"29-Mar-2018"|10308331|"WCM1"|"Down Main/Fast"|20.0367|20.0367|"MAV"|"Authorised Access Point - Vehicle"|"ECCLEFECHAN OFF B7076"|||318037.0|575408.0|"Left Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10308424|"I"|"29-Mar-2018"|10308424|"WCM1"|"Up Main/Fast"|20.0266|20.0272|"MAV"|"Authorised Access Point - Vehicle"|"ECCLEFECHAN FEED STN OFF B7076"|||318129.0|575418.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10308443|"I"|"29-Mar-2018"|10308443|"WCM1"|"Up Main/Fast"|19.0729|19.0736|"MAV"|"Authorised Access Point - Vehicle"|"UB 74 KIRKCONNEL HALL"|||319268.0|575315.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10308504|"I"|"29-Mar-2018"|10308504|"WCM1"|"Down Main/Fast"|19.0038|19.0056|"MAP"|"Authorised Access Point - Pedestrian"|"OB 72 ON B725 LANGLANDS ROAD"|||319897.0|575159.0|"Left Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10308609|"I"|"29-Mar-2018"|10308609|"WCM1"|"Up Main/Fast"|18.0008|18.0009|"MAP"|"Authorised Access Point - Pedestrian"|"UB 67 NEAR LAND FARM"|||321492.0|575155.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10308717|"I"|"29-Mar-2018"|10308717|"WCM1"|"Up Main/Fast"|17.0156|17.0165|"MAP"|"Authorised Access Point - Pedestrian"|"OB 61 EAGLESFIELD ON B722"|||322446.0|574077.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10308971|"I"|"29-Mar-2018"|10308971|"WCM1"|"Up Main/Fast"|15.0039|15.0039|"MAP"|"Authorised Access Point - Pedestrian"|"UB 48 MERKLAND OFF B7076"|||324849.0|572052.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
"NHD"|10309011|"I"|"29-Mar-2018"|10309011|"WCM1"|"Up Main/Fast"|15.0729|15.0735|"MAP"|"Authorised Access Point - Pedestrian"|"OB 50 WYSEBY TOWN OFF B7076"|||324399.0|572492.0|"Right Hand Side"|"Not Applicable"||"QL"|"27-Sep-2012"
